Folder	File	Author	Title	Genre	Updated	Lang	Series	Annotation	Keywords	PublishYear
f.usr-492347-495618.7z	Wolf_Moon.epub	McDonald,Ian,:	Luna--Wolf Moon--A Novel		2026-09-01	en				
f.usr-495619-497807.7z	Graham_Allison_Destined_for_War__Can_America_and_China_Escape_Thucydides_s_Trap_.epub	Graham,Allison,,:	Destined for War		2026-09-01	en				
f.usr-499889-502688.7z	Dzhin_Rodman_Vulf_A_Borrowed_Man.epub	Wolfe,Gene,:	A Borrowed Man		2026-09-01	en				
f.usr-499889-502688.7z	Dzhin_Rodman_Vulf_An_Evil_Guest.epub	Wolfe,Gene,:	An Evil Guest	sf_all_root:fantasy_all_root:General:Horror:love_all_root:sf:Action & Adventure:	2026-09-01	en				
f.usr-499889-502688.7z	Nuttall_Christopher_The_Gordian_Knot.epub	Christopher,Nuttall,,:	The Gordian Knot	fantasy_all_root:sorcerers:alternate world:prose_magic:Young Adult:magicians:	2026-09-01	en				
f.usr-502689-505100.7z	Adams_Skott_Gothic_Love._Istoriya_o_priznayushchih_tolko_chernyy_cvet.epub	Адамс,Скотт,:	Gothic Love. История о признающих только черный цвет	Современная русская литература:Приключения꞉ прочее:dramaturgy:sf_horror:love_contemporary:	2026-09-01	ru				
f.usr-502689-505100.7z	Edmund_Spenser_The_Faerie_Queene.epub	C.; Spenser, Edmund ; Yamashita, Hiroshi,Hamilton,,A.:	Spenser		2026-09-01	en				
f.usr-502689-505100.7z	Lives_of_the_Monster_Dogs.epub	Bakis,Kirsten,:	Lives of the Monster Dogs		2026-09-01	en				
f.usr-502689-505100.7z	Philip_Carlo_The_Night_Stalker_The_Life_and_Crimes_of_One_of_America_Deadliest_Killers.epub	Carlo,Philip,:	The Night Stalker		2026-09-01	en				
f.usr-502689-505100.7z	United_States_of_Japan.epub	Tieryas,Peter,:	United States of Japan		2026-09-01	en				
f.usr-505101-507580.7z	Car_gory.epub	Мерримен Э.,Бронсон,П.,:	Царь горы		2026-09-01	ru				
